county,pop
"Aitkin County, Minnesota",15886
".Anoka County, Minnesota",356921
".Becker County, Minnesota",34423
".Beltrami County, Minnesota",47188
".Benton County, Minnesota",40889
"Big Stone County, Minnesota",4991
".Blue Earth County, Minnesota",67653
".Brown County, Minnesota",25008
".Carlton County, Minnesota",35871
".Carver County, Minnesota",105089
".Cass County, Minnesota",29779
".Chippewa County, Minnesota",11800
".Chisago County, Minnesota",56579
".Clay County, Minnesota",64222
".Clearwater County, Minnesota",8818
".Cook County, Minnesota",5463
".Cottonwood County, Minnesota",11196
".Crow Wing County, Minnesota",65055
".Dakota County, Minnesota",429021
".Dodge County, Minnesota",20934
".Douglas County, Minnesota",38141
".Faribault County, Minnesota",13653
".Fillmore County, Minnesota",21067
".Freeborn County, Minnesota",30281
".Goodhue County, Minnesota",46340
".Grant County, Minnesota",5972
".Hennepin County, Minnesota",1265843
".Houston County, Minnesota",18600
".Hubbard County, Minnesota",21491
".Isanti County, Minnesota",40596
".Itasca County, Minnesota",45130
".Jackson County, Minnesota",9846
".Kanabec County, Minnesota",16337
".Kandiyohi County, Minnesota",43199
".Kittson County, Minnesota",4298
".Koochiching County, Minnesota",12229
".Lac qui Parle County, Minnesota",6623
".Lake County, Minnesota",10641
".Lake of the Woods County, Minnesota",3740
".Le Sueur County, Minnesota",28887
".Lincoln County, Minnesota",5639
".Lyon County, Minnesota",25474
".McLeod County, Minnesota",35893
".Mahnomen County, Minnesota",5527
".Marshall County, Minnesota",9336
".Martin County, Minnesota",19683
".Meeker County, Minnesota",23222
".Mille Lacs County, Minnesota",26277
".Morrison County, Minnesota",33386
".Mower County, Minnesota",40062
".Murray County, Minnesota",8194
".Nicollet County, Minnesota",34274
".Nobles County, Minnesota",21629
".Norman County, Minnesota",6375
".Olmsted County, Minnesota",158293
".Otter Tail County, Minnesota",58746
".Pennington County, Minnesota",14119
".Pine County, Minnesota",29579
".Pipestone County, Minnesota",9126
".Polk County, Minnesota",31364
".Pope County, Minnesota",11249
".Ramsey County, Minnesota",550321
".Red Lake County, Minnesota",4055
".Redwood County, Minnesota",15170
".Renville County, Minnesota",14548
".Rice County, Minnesota",66972
".Rock County, Minnesota",9315
".Roseau County, Minnesota",15165
".St. Louis County, Minnesota",199070
".Scott County, Minnesota",149013
".Sherburne County, Minnesota",97238
".Sibley County, Minnesota",14865
".Stearns County, Minnesota",161075
".Steele County, Minnesota",36649
".Stevens County, Minnesota",9805
".Swift County, Minnesota",9266
".Todd County, Minnesota",24664
".Traverse County, Minnesota",3259
".Wabasha County, Minnesota",21627
".Wadena County, Minnesota",13682
".Waseca County, Minnesota",18612
".Washington County, Minnesota",262440
".Watonwan County, Minnesota",10897
".Wilkin County, Minnesota",6207
".Winona County, Minnesota",50484
".Wright County, Minnesota",138377
".Yellow Medicine County, Minnesota",9709
